Title,Category,Rating,Year,Length,Type,Age,Genre,URL
Jeanne du Barry,"['actor', 'producer']",,,,Movie,,[],https://www.imdb.com/title/tt17277414/?ref_=nm_flmg_act_1
Puffins Impossible,['actor'],8.2/10,2021–,5m,TV Mini Series,TV-G,"['Animation', 'Family']",https://www.imdb.com/title/tt18330034/?ref_=nm_flmg_act_2
Sea of Dawn: Adventurer's Game,['actor'],8.4/10,2022,4m,Video,,"['Adventure', 'Comedy']",https://www.imdb.com/title/tt21391206/?ref_=nm_flmg_act_3
Puffins,['actor'],9.2/10,2020–,,TV Mini Series,,"['Animation', 'Short']",https://www.imdb.com/title/tt12874990/?ref_=nm_flmg_act_4
Minamata,"['actor', 'producer']",7.3/10,2020,1h 55m,Movie,R,[],https://www.imdb.com/title/tt9179096/?ref_=nm_flmg_act_5
Waiting for the Barbarians,['actor'],5.9/10,2019,1h 52m,Movie,,[],https://www.imdb.com/title/tt6149154/?ref_=nm_flmg_act_6
City of Lies,"['actor', 'producer']",6.4/10,2018,1h 52m,Movie,R,"['Biography', 'Crime', 'Drama']",https://www.imdb.com/title/tt2677722/?ref_=nm_flmg_act_7
Fantastic Beasts: The Crimes of Grindelwald,['actor'],6.5/10,2018,2h 14m,Movie,PG-13,"['Adventure', 'Family', 'Fantasy']",https://www.imdb.com/title/tt4123430/?ref_=nm_flmg_act_8
The Professor,['actor'],6.7/10,2018,1h 30m,Movie,R,"['Comedy', 'Drama']",https://www.imdb.com/title/tt6865690/?ref_=nm_flmg_act_9
London Fields,['actor'],3.9/10,2018,1h 58m,Movie,R,"['Crime', 'Mystery', 'Thriller']",https://www.imdb.com/title/tt1273221/?ref_=nm_flmg_act_10
Dior: Sauvage - Legend of the Magic Hour,['actor'],7.9/10,2018,12m,Video,,['Short'],https://www.imdb.com/title/tt8925680/?ref_=nm_flmg_act_11
Sherlock Gnomes,['actor'],5.2/10,2018,1h 26m,Movie,PG,"['Animation', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt2296777/?ref_=nm_flmg_act_12
Marilyn Manson: Kill4Me,['actor'],7.7/10,2017,5m,Music Video,,['Short'],https://www.imdb.com/title/tt7634200/?ref_=nm_flmg_act_13
Murder on the Orient Express,['actor'],6.5/10,2017,1h 54m,Movie,PG-13,"['Crime', 'Drama']",https://www.imdb.com/title/tt3402236/?ref_=nm_flmg_act_14
Marilyn Manson: Say10,['actor'],7.3/10,2017,4m,Music Video,,"['Short', 'Music']",https://www.imdb.com/title/tt7492974/?ref_=nm_flmg_act_15
Pirates of the Caribbean: Dead Men Tell No Tales,['actor'],6.5/10,2017,2h 9m,Movie,PG-13,"['Action', 'Adventure', 'Fantasy']",https://www.imdb.com/title/tt1790809/?ref_=nm_flmg_act_16
The Black Ghiandola,['actor'],5.5/10,2017,17m,Movie,,"['Short', 'Horror']",https://www.imdb.com/title/tt6244528/?ref_=nm_flmg_act_17
Fantastic Beasts and Where to Find Them,['actor'],7.2/10,2016,2h 12m,Movie,PG-13,"['Adventure', 'Family']",https://www.imdb.com/title/tt3183660/?ref_=nm_flmg_act_18
Alice Through the Looking Glass,['actor'],6.1/10,2016,1h 53m,Movie,PG,"['Adventure', 'Family', 'Fantasy']",https://www.imdb.com/title/tt2567026/?ref_=nm_flmg_act_19
Donald Trump's The Art of the Deal: The Movie,['actor'],5.8/10,2016,50m,TV Movie,Not Rated,['Comedy'],https://www.imdb.com/title/tt5456120/?ref_=nm_flmg_act_20
Yoga Hosers,['actor'],4.2/10,2016,1h 28m,Movie,PG-13,"['Action', 'Comedy']",https://www.imdb.com/title/tt3838992/?ref_=nm_flmg_act_21
Black Mass,['actor'],6.9/10,2015,2h 3m,Movie,R,"['Biography', 'Crime', 'Drama']",https://www.imdb.com/title/tt1355683/?ref_=nm_flmg_act_22
Dior: Sauvage,['actor'],7.7/10,2015,2m,Video,E10+,['Short'],https://www.imdb.com/title/tt8925618/?ref_=nm_flmg_act_23
Mortdecai,"['actor', 'producer']",5.5/10,2015,1h 47m,Movie,R,"['Action', 'Adventure', 'Comedy']",https://www.imdb.com/title/tt3045616/?ref_=nm_flmg_act_24
Paul McCartney: Early Days,['actor'],8.4/10,2014,5m,Music Video,,"['Short', 'Music']",https://www.imdb.com/title/tt3856870/?ref_=nm_flmg_act_25
Into the Woods,"['actor', 'soundtrack']",5.9/10,2014,2h 5m,Movie,PG,"['Adventure', 'Comedy', 'Drama']",https://www.imdb.com/title/tt2180411/?ref_=nm_flmg_act_26
Tusk,['actor'],5.3/10,2014,1h 42m,Movie,R,['Comedy'],https://www.imdb.com/title/tt3099498/?ref_=nm_flmg_act_27
Transcendence,['actor'],6.2/10,2014,1h 59m,Movie,PG-13,"['Action', 'Drama']",https://www.imdb.com/title/tt2209764/?ref_=nm_flmg_act_28
Lucky Them,['actor'],6.1/10,2013,1h 37m,Movie,R,['Comedy'],https://www.imdb.com/title/tt1885299/?ref_=nm_flmg_act_29
The Lone Ranger,"['actor', 'producer', 'soundtrack']",6.4/10,2013,2h 30m,Movie,PG-13,"['Action', 'Adventure']",https://www.imdb.com/title/tt1210819/?ref_=nm_flmg_act_30
Family Guy,['actor'],8.2/10,1999–,22m,TV Series,TV-MA,['Animation'],https://www.imdb.com/title/tt0182576/?ref_=nm_flmg_act_31
Dark Shadows,"['actor', 'producer', 'soundtrack']",6.2/10,2012,1h 53m,Movie,PG-13,"['Comedy', 'Fantasy', 'Horror']",https://www.imdb.com/title/tt1077368/?ref_=nm_flmg_act_32
Paul McCartney: My Valentine (Johnny Depp Version),['actor'],9.1/10,2012,3m,Music Video,,['Short'],https://www.imdb.com/title/tt19866672/?ref_=nm_flmg_act_33
21 Jump Street,"['actor', 'actor']",7.2/10,2012,1h 49m,Movie,R,"['Action', 'Comedy', 'Crime']",https://www.imdb.com/title/tt1232829/?ref_=nm_flmg_act_34
Life's Too Short,['actor'],7.5/10,2011–2013,30m,TV Series,TV-MA,['Comedy'],https://www.imdb.com/title/tt1641247/?ref_=nm_flmg_act_35
Jack and Jill,['actor'],3.3/10,2011,1h 31m,Movie,PG,['Comedy'],https://www.imdb.com/title/tt0810913/?ref_=nm_flmg_act_36
The Rum Diary,"['actor', 'producer', 'soundtrack']",6.1/10,2011,1h 59m,Movie,R,['Comedy'],https://www.imdb.com/title/tt0376136/?ref_=nm_flmg_act_37
